loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], gyroADC[0], gyroADC[1], gyroADC[2], gyroUnfilt[0], gyroUnfilt[1], gyroUnfilt[2], debug[0], debug[1], debug[2], debug[3], debug[4], debug[5], debug[6], debug[7], motor[0], motor[1], motor[2], motor[3], eRPM[0], eRPM[1], eRPM[2], eRPM[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 13114772,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,  -1,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0, 159, 164, 164, 158,  12,  13,  12,  12, 0, 0, IDLE, 0, 0
  1, 13116015,   0,   0,   2,   0,   0,   0,  -1,   0,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,  -1,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0, 159, 167, 162, 158,  12,  13,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  2, 13117260,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 158, 165, 163, 160,  12,  13,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  3, 13118501,   0,   0,   1,   0,   0,   0,   0,  -1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 158, 166, 163, 162,  12,  13,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  4, 13119745,   0,   0,   1,   0,   0,   0,   0,  -1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 158, 166, 161, 162,  12,  13,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  5, 13120995,   0,  -1,   1,   0,   0,   0,   0,  -1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0, 158, 166, 161, 163,  13,  13,  13,  13, ANGLE_MODE, 0, IDLE, 1, 1
  6, 13122231,   0,  -1,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 158, 165, 161, 164,  13,  13,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
  7, 13123474,   0,  -1,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0, 158, 164, 161, 165,  13,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
  8, 13124719,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0, 158, 160, 160, 163,  13,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
  9, 13125962,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0, 159, 159, 158, 161,  13,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 10, 13127205,   0,  -1,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0, 162, 164, 158, 165,  13,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 11, 13128448,   0,  -1,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0, 163, 162, 158, 165,  13,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 12, 13129691,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0, 162, 160, 158, 164,  13,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 13, 13130935,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0, 162, 158, 159, 163,  13,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 14, 13132178,   0,   0,  -1,   0,   0,   0,   0,   1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 162, 158, 161, 164,  13,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
 15, 13133421,   0,   0,  -1,   0,   0,   0,   1,   1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 164, 158, 165, 163,  13,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
 16, 13134672,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 164, 158, 164, 160,  13,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
 17, 13135908,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 163, 158, 164, 158,  13,  13,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
 18, 13137151,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0, 162, 159, 165, 158,  13,  13,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
 19, 13138394,   0,   0,   1,   0,   0,   0,   0,   1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,   0,   0,   0,  -1,  -1,   0,  -1,   0,   0,   0,   0,   0,   0, 164, 161, 166, 158,  13,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
 20, 13139638,   0,   1,   1,   0,   0,   0,   0,   1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,  -1,   0,   0,  -1,   0,   0,  -1,   0,   0,   0,   0,   0,   0, 165, 161, 169, 158,  13,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
 21, 13140887,   0,   1,   1,   0,   0,   0,   0,   1,   0,   0,   0,   1,  -1,   2, 1000,   0,   0,   0,   0,   0,  -1,   0,   0,  -1,   0,   0,  -1,   0,   0,   0,   0,   0,   0, 166, 161, 169, 158,  13,  12,  12,  13, ANGLE_MODE, 0, IDLE, 1, 1
