loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], gyroADC[0], gyroADC[1], gyroADC[2], gyroUnfilt[0], gyroUnfilt[1], gyroUnfilt[2], debug[0], debug[1], debug[2], debug[3], debug[4], debug[5], debug[6], debug[7], motor[0], motor[1], motor[2], motor[3], eRPM[0], eRPM[1], eRPM[2], eRPM[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 45767973,   0,   0,   4,   0,   0,   0,  -2,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   0,   0,  -3,   0,   0,  -3,   0,   0,   0,   0,   0,   0,   0,   0, 162, 179, 171, 158,  17,  12,  12,  12, 0, 0, IDLE, 0, 0
  1, 45769218,   0,  -1,   4,   0,   0,   0,  -2,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   0,   0,  -3,   0,   1,  -3,   0,   1,   0,   0,   0,   0,   0,   0, 162, 180, 169, 158,  17,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  2, 45770461,   0,  -1,   4,   0,   0,   0,  -2,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   0,   1,  -3,   0,   1,  -2,   0,   1,   0,   0,   0,   0,   0,   0, 162, 181, 166, 158,  17,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  3, 45771705,  -1,  -1,   3,   0,   0,   0,  -3,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   0,   1,  -2,   1,   1,   0,   1,   1,   0,   0,   0,   0,   0,   0, 165, 182, 163, 158,  17,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  4, 45772949,  -1,  -1,   2,   0,   0,   0,  -4,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   1,   1,  -1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0, 168, 184, 158, 158,  13,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  5, 45774192,  -2,  -1,   1,   0,   0,   0,  -5,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   1,   1,   1,   2,   1,   3,   2,   1,   0,   0,   0,   0,   0,   0, 178, 191, 158, 164,  12,  13,  13,  13, ANGLE_MODE, 0, IDLE, 1, 1
  6, 45775436,  -2,  -2,  -1,   0,   0,   0,  -6,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   2,   1,   2,   2,   1,   4,   2,   1,   0,   0,   0,   0,   0,   0, 190, 202, 158, 175,  15,  13,  13,  13, ANGLE_MODE, 0, IDLE, 1, 1
  7, 45776680,  -3,  -2,  -2,   0,   0,   0,  -6,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   2,   1,   4,   2,   2,   6,   2,   2,   0,   0,   0,   0,   0,   0, 200, 211, 158, 187,  15,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
  8, 45777924,  -3,  -2,  -4,   0,   0,   0,  -6,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   2,   1,   5,   2,   1,   7,   2,   1,   0,   0,   0,   0,   0,   0, 207, 213, 158, 194,  17,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
  9, 45779166,  -4,  -2,  -5,   0,   0,   0,  -6,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   2,   1,   6,   3,   1,   7,   3,   1,   0,   0,   0,   0,   0,   0, 216, 213, 158, 197,  17,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
