loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], gyroADC[0], gyroADC[1], gyroADC[2], gyroUnfilt[0], gyroUnfilt[1], gyroUnfilt[2], debug[0], debug[1], debug[2], debug[3], debug[4], debug[5], debug[6], debug[7], motor[0], motor[1], motor[2], motor[3], eRPM[0], eRPM[1], eRPM[2], eRPM[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 21835058,   0,   1,   1,   0,   0,   0,   1,   1,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   0,  -1,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0, 163, 158, 168, 159,  12,  12,  12,  13, 0, 0, IDLE, 0, 0
  1, 21836296,   0,   1,   1,   0,   0,   0,   1,   1,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 161, 159, 166, 158,  12,  12,  12,  13, ANGLE_MODE, 0, IDLE, 1, 1
  2, 21837538,   0,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 160, 160, 164, 158,  12,  12,  12,  13, ANGLE_MODE, 0, IDLE, 1, 1
  3, 21838780,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0, 158, 158, 161, 158,  12,  12,  12,  13, ANGLE_MODE, 0, IDLE, 1, 1
  4, 21840025,   0,   0,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0, 160, 162, 158, 163,  12,  12,  12,  13, ANGLE_MODE, 0, IDLE, 1, 1
  5, 21841268,   0,   0,  -1,   0,   0,   0,   0,  -2,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   0,   2,   0,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0, 163, 165, 158, 170,  13,  13,  13,  13, ANGLE_MODE, 0, IDLE, 1, 1
  6, 21842511,   0,   0,  -2,   0,   0,   0,   0,  -2,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   0,   3,   0,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0, 168, 169, 158, 177,  13,  13,  13,  13, ANGLE_MODE, 0, IDLE, 1, 1
  7, 21843755,   0,  -1,  -3,   0,   0,   0,   0,  -2,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   0,   3,   0,   1,   4,   0,   1,   0,   0,   0,   0,   0,   0, 172, 170, 158, 182,  12,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  8, 21844999,   0,  -1,  -4,   0,   0,   0,   0,  -2,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   1,   4,   0,   1,   4,   0,   1,   0,   0,   0,   0,   0,   0, 177, 170, 158, 185,  12,  12,  12,  12, ANGLE_MODE, 0, IDLE, 1, 1
  9, 21846243,   0,  -1,  -5,   0,   0,   0,   0,  -2,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   1,   4,   0,   1,   4,   0,   1,   0,   0,   0,   0,   0,   0, 179, 170, 158, 188,  13,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 10, 21847487,   0,  -1,  -5,   0,   0,   0,   0,  -2,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   1,   4,   0,   1,   3,   0,   1,   0,   0,   0,   0,   0,   0, 179, 168, 158, 188,  13,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 11, 21848737,   0,  -1,  -5,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0, 1000,   0,   0,   0,   0,   0,   1,   3,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0, 177, 162, 158, 182,  15,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 12, 21849974,   0,  -1,  -5,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   0,   0,   2,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0, 174, 158, 158, 177,  15,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 13, 21851217,   0,   0,  -4,   0,   0,   0,   1,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 175, 158, 165, 174,  15,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 14, 21852461,   0,   0,  -2,   0,   0,   0,   1,   3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   0,   0,   0,   0,  -1,  -2,   0,  -1,   0,   0,   0,   0,   0,   0, 178, 158, 175, 173,  15,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
 15, 21853704,   1,   1,  -1,   0,   0,   0,   1,   4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0,   0,   0,  -1,   0,  -1,  -3,   0,  -1,   0,   0,   0,   0,   0,   0, 176, 158, 182, 167,  15,  12,  13,  12, ANGLE_MODE, 0, IDLE, 1, 1
